lemma,word,sentence,v
stay,stayed,They stayed overnight.,M2_b
tap,tapped,He tapped the keg.,M1_a
tap,tapped,He tapped the beer.,M1_b
tap,tapped,He tapped the stick.,M2_a
tap,tapped,He tapped the drums.,M2_b
tape,tape,He used the scotch tape.,M1_a
tape,tape,He used the double-sided tape.,M1_b
tape,tape,He used the interview tape.,M2_a
tape,tape,He used the video tape.,M2_b
term,term,It was a winter term.,M1_a
term,term,It was a fall term.,M1_b
term,term,It was a legal term.,M2_a
term,term,It was a technical term.,M2_b
tick,tick,It was a clock tick.,M1_a
tick,tick,It was an audible tick.,M1_b
tick,tick,It was a parasitic tick.,M2_a
tick,tick,It was a diseased tick.,M2_b
tip,tip,It was a generous tip.,M1_a
tip,tip,It was a stingy tip.,M1_b
tip,tip,It was a pencil tip.,M2_a
tip,tip,It was a finger tip.,M2_b
title,title,She liked the essay title.,M1_a
title,title,She liked the poem title.,M1_b
title,title,She liked the academic title.,M2_a
title,title,She liked the professional title.,M2_b
toast,toasted,They toasted the bread.,M1_a
toast,toasted,They toasted the strudel.,M1_b
toast,toasted,They toasted the host.,M2_a
toast,toasted,They toasted the bride.,M2_b
toll,toll,It was a costly toll.,M1_a
toll,toll,It was a road toll.,M1_b
toll,toll,It was a loud toll.,M2_a
toll,toll,It was a bell toll.,M2_b
track,tracks,She saw the train tracks.,M1_a
track,tracks,She saw the trolley tracks.,M1_b
track,tracks,She saw the moose tracks.,M2_a
track,tracks,She saw the snowshoe tracks.,M2_b
yard,yards,It was five yards.,M1_a
yard,yards,It was ten yards.,M1_b
yard,yards,They were big yards.,M2_a
yard,yards,They were cluttered yards.,M2_b
